cis_code	has_code	ass_reason	date_string	asmr	asmr_label
65122219	CT-15664	Inscription (CT)	20161130	V	Ces spécialités sont des compléments de gamme qui n’apportent pas d’amélioration du service médical rendu (ASMR V) par rapport aux présentations déjà inscrites.
66791654	CT-14078	Renouvellement d'inscription (CT)	20150520	IV	ABILIFY apporte une amélioration du service médical rendu mineure (ASMR IV) dans la prise en charge thérapeutique des patients schizophrènes adolescents âgés de 15 ans et plus (cf. paragraphes 6.1.2 et 9.1.2).
65198099	CT-14078	Renouvellement d'inscription (CT)	20150520	IV	ABILIFY apporte une amélioration du service médical rendu mineure (ASMR IV) dans la prise en charge thérapeutique des patients schizophrènes adolescents âgés de 15 ans et plus (cf. paragraphes 6.1.2 et 9.1.2).
64224801	CT-14078	Renouvellement d'inscription (CT)	20150520	IV	ABILIFY apporte une amélioration du service médical rendu mineure (ASMR IV) dans la prise en charge thérapeutique des patients schizophrènes adolescents âgés de 15 ans et plus (cf. paragraphes 6.1.2 et 9.1.2).
61815891	CT-14078	Renouvellement d'inscription (CT)	20150520	IV	ABILIFY apporte une amélioration du service médical rendu mineure (ASMR IV) dans la prise en charge thérapeutique des patients schizophrènes adolescents âgés de 15 ans et plus (cf. paragraphes 6.1.2 et 9.1.2).
60599533	CT-14078	Renouvellement d'inscription (CT)	20150520	IV	ABILIFY apporte une amélioration du service médical rendu mineure (ASMR IV) dans la prise en charge thérapeutique des patients schizophrènes adolescents âgés de 15 ans et plus (cf. paragraphes 6.1.2 et 9.1.2).
61815891	CT-13116	Extension d'indication	20131106	IV	ABILIFY apporte une Amélioration du Service Médical Rendu mineure (niveau IV) dans la prise en charge des épisodes maniaques modérés à sévères des troubles bipolaires de type I chez l'adolescent âgé de 13 ans ou plus.
60599533	CT-13116	Extension d'indication	20131106	IV	ABILIFY apporte une Amélioration du Service Médical Rendu mineure (niveau IV) dans la prise en charge des épisodes maniaques modérés à sévères des troubles bipolaires de type I chez l'adolescent âgé de 13 ans ou plus.
66791654	CT-13116	Extension d'indication	20131106	IV	ABILIFY apporte une Amélioration du Service Médical Rendu mineure (niveau IV) dans la prise en charge des épisodes maniaques modérés à sévères des troubles bipolaires de type I chez l'adolescent âgé de 13 ans ou plus.
65198099	CT-13116	Extension d'indication	20131106	IV	ABILIFY apporte une Amélioration du Service Médical Rendu mineure (niveau IV) dans la prise en charge des épisodes maniaques modérés à sévères des troubles bipolaires de type I chez l'adolescent âgé de 13 ans ou plus.
64224801	CT-13116	Extension d'indication	20131106	IV	ABILIFY apporte une Amélioration du Service Médical Rendu mineure (niveau IV) dans la prise en charge des épisodes maniaques modérés à sévères des troubles bipolaires de type I chez l'adolescent âgé de 13 ans ou plus.
60703487	CT-12516	Extension d'indication	20121121	V	Chez les enfants et adolescents de 10 à 17 ans avec hypercholestérolémie familiale hétérozygote ou dyslipidémie mixte, TAHOR n’apporte pas d’amélioration du service médicale rendu (ASMR V) par rapport aux alternatives disponibles (pravastatine, rosuvastatine).
69902323	CT-12516	Extension d'indication	20121121	V	Chez les enfants et adolescents de 10 à 17 ans avec hypercholestérolémie familiale hétérozygote ou dyslipidémie mixte, TAHOR n’apporte pas d’amélioration du service médicale rendu (ASMR V) par rapport aux alternatives disponibles (pravastatine, rosuvastatine).
69466146	CT-12516	Extension d'indication	20121121	V	Chez les enfants et adolescents de 10 à 17 ans avec hypercholestérolémie familiale hétérozygote ou dyslipidémie mixte, TAHOR n’apporte pas d’amélioration du service médicale rendu (ASMR V) par rapport aux alternatives disponibles (pravastatine, rosuvastatine).
63998110	CT-12515	Inscription (CT)	20121121	V	Ces spécialités sont des compléments de gamme qui n’apportent pas d’amélioration du service médical rendu (ASMR V) par rapport aux autres formes galéniques et présentations déjà inscrites.
60599533	CT-9034	Réévaluation SMR et ASMR	20120314	III	ABILIFY comme tous les autres antipsychotiques (y compris les antipsychotiques de première génération) apporte une amélioration du service médical rendu modérée (ASMR III) dans la prise en charge de la schizophrénie.
65198099	CT-9034	Réévaluation SMR et ASMR	20120314	III	ABILIFY comme tous les autres antipsychotiques (y compris les antipsychotiques de première génération) apporte une amélioration du service médical rendu modérée (ASMR III) dans la prise en charge de la schizophrénie.
64224801	CT-9034	Réévaluation SMR et ASMR	20120314	III	ABILIFY comme tous les autres antipsychotiques (y compris les antipsychotiques de première génération) apporte une amélioration du service médical rendu modérée (ASMR III) dans la prise en charge de la schizophrénie.
66791654	CT-9034	Réévaluation SMR et ASMR	20120314	III	ABILIFY comme tous les autres antipsychotiques (y compris les antipsychotiques de première génération) apporte une amélioration du service médical rendu modérée (ASMR III) dans la prise en charge de la schizophrénie.
61815891	CT-9034	Réévaluation SMR et ASMR	20120314	III	ABILIFY comme tous les autres antipsychotiques (y compris les antipsychotiques de première génération) apporte une amélioration du service médical rendu modérée (ASMR III) dans la prise en charge de la schizophrénie.
