id	label	cis_code	generic_type	elt_number	drug_name
1	CIMETIDINE 200 mg - TAGAMET 200 mg, comprimé pelliculé	65383183	0	1	
2	CIMETIDINE 200 mg - TAGAMET 200 mg, comprimé effervescent	65025026	0	1	
3	CIMETIDINE 400 mg - TAGAMET 400 mg, comprimé pelliculé	69472373	0	1	
4	CIMETIDINE 800 mg - TAGAMET 800 mg, comprimé pelliculé sécable	60089516	0	1	
7	RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 150 mg - AZANTAC 150 mg, comprimé pelliculé - RANIPLEX 150 mg, comprimé pelliculé.	66024386	0	2	
7	RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 150 mg - AZANTAC 150 mg, comprimé pelliculé - RANIPLEX 150 mg, comprimé pelliculé.	64937733	1	3	
8	RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 300 mg - AZANTAC 300 mg, comprimé pelliculé - RANIPLEX 300 mg, comprimé pelliculé.	63758510	0	2	
8	RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 300 mg - AZANTAC 300 mg, comprimé pelliculé - RANIPLEX 300 mg, comprimé pelliculé.	69247608	1	3	
9	RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 75 mg - AZANTAC 75 mg, comprimé effervescent - RANIPLEX 75 mg, comprimé effervescent.	62838569	0	2	
9	RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 75 mg - AZANTAC 75 mg, comprimé effervescent - RANIPLEX 75 mg, comprimé effervescent.	69128963	1	5	
12	FAMOTIDINE 20 mg - PEPDINE 20 mg, comprimé pelliculé	67942333	0	1	
13	FAMOTIDINE 40 mg - PEPDINE 40 mg, comprimé pelliculé	68121033	0	1	
14	OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante	61788063	1	3	
14	OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante	61274368	1	4	
14	OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante	60356346	1	16	
14	OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante	68720499	1	25	
14	OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante	67928853	1	26	
14	OMEPRAZOLE 20 mg - MOPRAL 20 mg, gélule gastro-résistante - ZOLTUM 20 mg, gélule gastro-résistante	67993388	1	32	
17	PHLOROGLUCINOL 80 mg - SPASFON LYOC 80 mg, lyophilisat oral	63324243	1	7	
17	PHLOROGLUCINOL 80 mg - SPASFON LYOC 80 mg, lyophilisat oral	65560185	1	13	
18	MEBEVERINE (CHLORHYDRATE DE) 100 mg - DUSPATALIN 100 mg, comprimé enrobé	69882714	0	1	
21	TRIMEBUTINE (MALEATE DE) 100 mg - DEBRIDAT 100 mg, comprimé pelliculé	66079938	1	9	
26	LACTULOSE 10 g - DUPHALAC 10 g/15 ml, solution buvable en sachet.	60337036	1	6	
26	LACTULOSE 10 g - DUPHALAC 10 g/15 ml, solution buvable en sachet.	67423559	1	12	
27	NIFUROXAZIDE 4 % - ERCEFURYL 4 POUR CENT, suspension buvable.	61321095	0	1	
